timestamp,actTtiss,actTpb,act0Tpb,act0Ttiss,act0Ttiss2,actTtiss2,act0Ttiss3,actTtiss3,act0Ttumor,actTtumor,IL6pb,IL6tiss,IL6tiss2,IL6tiss3,IL6tumor,injection_effect,drug_effect,RTXc_ugperkg,RTXp_ugperkg,Blinc_ug,TDBc_ugperml,TDBp_ugperml,Bpb,Btiss,Btiss2,B1920tiss3,B19no20tiss3,Btumor,restTpb,restTtiss,restTtiss2,restTtiss3,restTtumor,BAFF
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.2718868950516585,0.0,3.8e8,6.3e9,1.5e10,3.0e9,7.5e8,1.0e6,7.6e8,7.0e9,2.5e10,5.0e9,2.0e6,1.0
0.2,4.081190760155374e8,9.701055296305245e6,590730.2864683605,6.5687150293829925e7,1.384975615170015e8,8.607514950710884e8,2.6226614951602776e7,1.6307419246797365e8,0.0,0.0,377.4787578614513,1.008713648703738e6,375559.4947432861,35300.91271952209,0.0,8.705505632961264,0.0,0.0,0.0,0.0,0.21307356806359948,0.006625437439009071,8.496651832033874e7,6.173328097513266e9,1.4761289342044788e10,2.9152772551115246e9,7.508133209264295e8,1.005012520859402e6,7.749826226058076e7,6.869533276260431e9,2.4594790930280968e10,4.885076905015683e9,2.0e6,1.0552580546724153
0.4,6.365875940172452e8,1.5291558046267964e7,2.262857214266121e6,2.1048052549408185e8,5.2362088854977685e8,1.5752069465778034e9,9.78048352103365e7,2.9418766353413844e8,0.0,0.0,12.554089263773083,1.3631119264373537e6,591754.2171370807,52600.54592413818,0.0,7.578582832552047,0.0,0.0,0.0,0.0,0.16762420938606587,0.011644736358106646,2.707466255984371e6,5.869970661323384e9,1.4090814325866539e10,2.6677070015733986e9,7.548409195803219e8,1.0100501670841686e6,8.535824192210215e7,6.581045247051998e9,2.400431285875231e10,4.770104683497653e9,2.0e6,1.2775817198531114
0.6,7.844173722040881e8,1.9686397152725972e7,5.000736485474905e6,3.9409611647195107e8,1.0972203839408104e9,2.1389065828857021e9,2.034896171006593e8,3.948392203651312e8,0.0,0.0,12.885327174391794,1.365284630651084e6,646290.1195618878,54345.91769854753,0.0,6.597539553864513,0.0,0.0,0.0,0.0,0.13253410747922573,0.015426133672809764,2.3310509754058104e6,5.467039705306053e9,1.3094277001184505e10,2.3728729883799076e9,7.629295894235828e8,1.0151130646157194e6,9.405584787721875e7,6.393759907479379e9,2.353816892893135e10,4.684316765919033e9,2.0e6,1.6398895294123046
0.8,8.813985256923196e8,2.279207949364409e7,8.882991397518279e6,6.014770549379208e8,1.8068689952965326e9,2.562141471084225e9,3.33860163177513e8,4.6911050295951843e8,0.0,0.0,11.720437081624361,1.2152809258790587e6,602546.8358978934,47997.787069639184,0.0,5.7434917749852055,0.0,0.0,0.0,0.0,0.10545786953310296,0.018254623231819856,1.99367000613733e6,5.005087162904846e9,1.1874317099908098e10,2.0550859679506238e9,7.761755231524322e8,1.0202013400267558e6,1.0416286381510912e8,6.277898941689512e9,2.318672105660811e10,4.623339186470416e9,2.0e6,2.142344551370006
1.0,9.415764106727107e8,2.4876057950418442e7,1.3999669952772582e7,8.239896675036645e8,2.607897696796348e9,2.8621403218245955e9,4.812137445622363e8,5.2122901207493806e8,0.0,0.0,9.803287455194999,1.0108683700410294e6,511416.050195145,38544.71287772076,0.0,5.0000000000000275,0.0,0.0,0.0,0.0,0.08457115630080288,0.02035038866483058,1.675400653947866e6,4.512491639524715e9,1.0523378527064322e10,1.731935045115127e9,7.95229914137594e8,1.0253151205244295e6,1.1574443054648654e8,6.213481713521979e9,2.2936105291260647e10,4.582700118058365e9,2.0e6,2.759913985264533
1.2,9.737676377163197e8,2.6143410727468017e7,2.043679474165616e7,1.0554269235403773e9,3.4638469170560436e9,3.05869011423338e9,6.393230021682965e8,5.553358797785561e8,0.0,0.0,7.688465496665043,803648.4226136376,407095.5152740822,28904.532536615818,0.0,4.352752816480627,0.0,0.0,0.0,0.0,0.06845890981783219,0.021883305050858372,1.376823772447188e6,4.0104161763762455e9,9.118941956097767e9,1.4171966383996856e9,8.203554989060355e8,1.0304545339535177e6,1.2884477459081566e8,6.185437625298922e9,2.2769590637521057e10,4.558019570352719e9,2.0e6,3.4578482773806547
1.4,9.844795356586812e8,2.676537066703386e7,2.826564749689028e7,1.290698704571828e9,4.3455365986255045e9,3.1712118037029138e9,8.031886715375409e8,5.75250481428319e8,0.0,0.0,5.710869273999366,618454.9116663412,308861.3269371619,20490.078212008353,0.0,3.789291416276003,0.0,0.0,0.0,0.0,0.0560259818314611,0.022984288796444808,1.1017383499537483e6,3.514817392803992e9,7.722282455546086e9,1.1210810866126099e9,8.515090407113035e8,1.0356197087996233e6,1.4348276962219286e8,6.182317200191689e9,2.2670196921569313e10,4.545310854364967e9,2.0e6,4.200799832891367
1.6,9.790120281374661e8,2.6889650853952788e7,3.753560199791802e7,1.5254688601308863e9,5.229987031082414e9,3.2175522190737224e9,9.688430621123906e8,5.843334937043277e8,0.0,0.0,4.03455220490098,464486.7855502557,225363.31502930349,13776.21379903195,0.0,3.298769776932238,0.0,0.0,0.0,0.0,0.0464263005552596,0.023754143849963435,853594.7022912768,3.0373757599698033e9,6.37897287250974e9,8.507183845778885e8,8.884184711502826e8,1.0408107741923883e6,1.5964813218455437e8,6.19541227229271e9,2.2622181497249657e10,4.541159086211437e9,2.0e6,4.957284834550412
1.8,9.618113358667663e8,2.6643042560878884e7,4.826929042531245e7,1.7561008797380574e9,6.099501933677006e9,3.2134235110848703e9,1.1331965631621857e9,5.854068949032723e8,0.0,0.0,2.708541858798759,342311.95995153993,158771.38335843658,8737.167831734128,0.0,2.8717458874925903,0.0,0.0,0.0,0.0,0.039007122283435856,0.02427043379218158,634905.0240910496,2.5860994377076306e9,5.120549627586575e9,6.108931381294549e8,9.306522115858674e8,1.0460278599087166e6,1.7729906214791393e8,6.218169858610137e9,2.261181995574587e10,4.542798941008673e9,2.0e6,5.701597171054285
2.0,9.365532058108201e8,2.6131576422300804e7,6.045942442114998e7,1.979668116635097e9,6.940897532813413e9,3.1721540284070716e9,1.2939057790651073e9,5.807354229455161e8,0.0,0.0,1.7169301070323224,248332.84350365598,107895.71818800834,5136.126435702104,0.0,2.500000000000001,0.0,0.0,0.0,0.0,0.03326539690007516,0.024592806469936467,447749.70631792134,2.1659028413000336e9,3.9671424403599935e9,4.051415823434431e8,9.776777456927261e8,1.051271096376022e6,1.963614234853215e8,6.24578027208904e9,2.262771412462386e10,4.548104401898579e9,2.0e6,6.414229918184959
2.2,9.061700921720421e8,2.544088235194644e7,7.406682611080027e7,2.1939428759881134e9,7.744805864603455e9,3.1046668377568765e9,1.4492504071274626e9,5.720680020527892e8,0.0,0.0,1.0174387972836028,177488.23975982677,70206.98033581059,2695.9010554644856,0.0,2.176376408240307,0.0,0.0,0.0,0.0,0.02881376229686269,0.024767111224410006,295170.2954727592,1.7792464921005957e9,2.9310010143256574e9,2.3754588067139924e8,1.0289064056939359e9,1.056540614675491e6,2.1672920188013875e8,6.274853161135213e9,2.2660775430984947e10,4.5555133822035e9,2.0e6,7.081338023522844
2.4,8.729058698778708e8,2.4637714622634925e7,8.901945356324364e7,2.397345507262102e9,8.505014003154538e9,3.0196463347883496e9,1.5980180224688082e9,5.607167381979483e8,0.0,0.0,0.5680312101261747,124726.82751683274,42986.774142073205,1190.1860534744742,0.0,1.894645708138004,0.0,0.0,0.0,0.0,0.0253541320053584,0.02482857744345776,183650.408091821,1.426830073242582e9,2.0211581041796982e9,1.1558941969463159e8,1.0837210964062946e9,1.061836546545357e6,2.382659510610558e8,6.303134678297337e9,2.270400344705332e10,4.5639216699210615e9,2.0e6,7.693496662255367
2.6,8.384120706072156e8,2.3772531122958492e7,1.052124729503654e8,2.588862439233476e9,9.21784217234824e9,2.923835135011825e9,1.7394041745608482e9,5.476267352574188e8,0.0,0.0,0.3338956308251555,85681.73837777917,23908.447928578255,452.22719463162537,0.0,1.6493848884661264,0.0,0.0,0.0,0.0,0.022657234147667668,0.024804265411411303,122223.98451066366,1.1083122722055423e9,1.250386434242199e9,4.897052950652827e7,1.1414816750850315e9,1.0671590243841913e6,2.6080715212634653e8,6.329250525338192e9,2.27521629325399e10,4.572591254407451e9,2.0e6,8.243754420775259
2.8,8.038665292929864e8,2.2882481474429477e7,1.2250962263978082e8,2.7679500277549715e9,9.881584591231508e9,2.8223823306702223e9,1.872930390831633e9,5.333930225985546e8,0.0,0.0,0.24784084389584196,56879.65192092205,11315.834529415202,221.858320793226,0.0,1.4358729437463063,0.0,0.0,0.0,0.0,0.020546792844627605,0.02471495424567355,102972.19555964273,8.230770755757388e8,6.470408461845828e8,2.807265180832773e7,1.2014962700373235e9,1.0725081812542134e6,2.841636670833633e8,6.352477420419546e9,2.28014434650047e10,4.58110891235098e9,2.0e6,8.724578857526234
3.0,7.700901803932697e8,2.1994281322281554e7,1.4074607825748402e8,2.9344382515898604e9,1.0496042131309345e10,2.7191324383113246e9,1.9983490633793294e9,5.183423263904085e8,0.0,0.0,0.21794587517057895,35721.92432076817,4265.826777594899,173.7424771590197,0.0,1.250000000000013,0.0,0.0,0.0,0.0,0.018887317908623767,0.02457659513036031,100506.77515755595,5.712007537593374e8,2.642177999373989e8,2.500267921806143e7,1.2629465407521741e9,1.0778841508846292e6,3.081263895214653e8,6.3725494473919115e9,2.2849185764967667e10,4.589307326492168e9,2.0e6,9.123556245583238
